geneName,type
DPPA5,ALL-EPI
GDF3,ALL-EPI
ESRG,ALL-EPI
KLF17,ALL-EPI
IFITM1,ALL-EPI
ARGFX,ALL-EPI
MEG3,ALL-EPI
TDGF1,ALL-EPI
NODAL,ALL-EPI
UNC5B,ALL-EPI
SOX2,ALL-EPI
TDGF1P3,ALL-EPI
CBFA2T2,ALL-EPI
MAN1C1,ALL-EPI
DND1,ALL-EPI
LRP4,ALL-EPI
BCOR,ALL-EPI
DPPA2,ALL-EPI
SLC25A12,ALL-EPI
GUCA1A,ALL-EPI
NANOG,ALL-EPI
SLC16A9,ALL-EPI
FBP1,ALL-EPI
FGF4,ALL-EPI
CCDC80,ALL-EPI
SUSD2,ALL-EPI
UTF1,ALL-EPI
BTLA,ALL-EPI
ZSCAN10,ALL-EPI
ETV4,ALL-EPI
MT1X,ALL-EPI
PIM2,ALL-EPI
MAP4K1,ALL-EPI
ACE,ALL-EPI
LDLRAP1,ALL-EPI
LIM2,ALL-EPI
UPP1,ALL-EPI
WNT3,ALL-EPI
CHST2,ALL-EPI
CXCL12,ALL-EPI
TBC1D16,ALL-EPI
CDHR1,ALL-EPI
NRBP2,ALL-EPI
FAM46B,ALL-EPI
TNFRSF8,ALL-EPI
ETV1,ALL-EPI
CPT1A,ALL-EPI
AARS2,ALL-EPI
MUC4,ALL-EPI
PBX3,ALL-EPI
ITFG3,ALL-EPI
FOXD3-AS1,ALL-EPI
NGEF,ALL-EPI
VASH2,ALL-EPI
RASD1,ALL-EPI
Sep-06,ALL-EPI
APOBEC3D,ALL-EPI
ATP8B2,ALL-EPI
LINC01108,ALL-EPI
SERINC5,ALL-EPI
FAM124A,ALL-EPI
PSORS1C2,ALL-EPI
SHPK,ALL-EPI
CFLAR,ALL-EPI
USP28,ALL-EPI
SH3PXD2A,ALL-EPI
APOBEC3C,ALL-EPI
IGSF1,ALL-EPI
CAPG,ALL-EPI
VSNL1,ALL-EPI
UBTD1,ALL-EPI
CAMKV,ALL-EPI
DOCK6,ALL-EPI
GK,ALL-EPI
SERPINB6,ALL-EPI
ANKRD45,ALL-EPI
ZYG11A,ALL-EPI
RRAD,ALL-EPI
TRIM56,ALL-EPI
PLA2G4F,ALL-EPI
MIAT,ALL-EPI
SAT1,ALL-EPI
DPPA4,ALL-EPI
GGT1,ALL-EPI
PITPNM2,ALL-EPI
ABHD12B,ALL-EPI
ZIC3,ALL-EPI
LAPTM4B,ALL-EPI
PRUNE2,ALL-EPI
